emoji,unicode,r,g,b,hex_color
"🗨",128488,0,0,0,"#000000"
"🗯",128495,0,0,0,"#000000"
"💭",128173,224,218,236,"#e0daec"
"💤",128164,79,165,247,"#4fa5f7"
"👋",128075,223,177,83,"#dfb153"
"🤚",129306,248,181,70,"#f8b546"
"🖐",128400,250,189,67,"#fabd43"
"🏻",127995,0,0,0,"#000000"
"🏼",127996,0,0,0,"#000000"
"🏽",127997,0,0,0,"#000000"
"🏾",127998,0,0,0,"#000000"
"🏿",127999,0,0,0,"#000000"
"✋",9995,250,187,64,"#fabb40"
"🖖",128406,250,189,64,"#fabd40"
"🫱",129777,252,191,72,"#fcbf48"
"🫲",129778,252,195,76,"#fcc34c"
"🫳",129779,247,189,78,"#f7bd4e"
"🫴",129780,250,196,73,"#fac449"
"🫷",129783,183,124,137,"#b77c89"
"🫸",129784,183,143,131,"#b78f83"
"👌",128076,249,187,67,"#f9bb43"
"🤌",129292,253,189,62,"#fdbd3e"
"🤏",129295,248,183,58,"#f8b73a"
"✌",9996,248,184,72,"#f8b848"
"🤞",129310,250,183,75,"#fab74b"
"🫰",129776,254,190,81,"#febe51"
"🤟",129311,249,188,72,"#f9bc48"
"🤘",129304,248,182,73,"#f8b649"
"🤙",129305,246,178,62,"#f6b23e"
"👈",128072,247,190,74,"#f7be4a"
"👉",128073,250,188,74,"#fabc4a"
"👆",128070,251,187,70,"#fbbb46"
"🖕",128405,252,192,60,"#fcc03c"
"👇",128071,251,193,79,"#fbc14f"
"☝",9757,248,181,75,"#f8b54b"
"🫵",129781,249,180,63,"#f9b43f"
"👍",128077,245,179,64,"#f5b340"
"👎",128078,248,186,64,"#f8ba40"
"✊",9994,246,176,68,"#f6b044"
"👊",128074,250,187,69,"#fabb45"
"🤛",129307,239,179,69,"#efb345"
"🤜",129308,242,184,65,"#f2b841"
"👏",128079,240,179,76,"#f0b34c"
"🙌",128588,237,180,74,"#edb44a"
"🫶",129782,250,186,78,"#faba4e"
"👐",128080,249,186,77,"#f9ba4d"
"🤲",129330,247,178,69,"#f7b245"
"🤝",129309,248,189,58,"#f8bd3a"
"🙏",128591,199,137,130,"#c78982"
"✍",9997,246,167,78,"#f6a74e"
"💅",128133,218,150,97,"#da9661"
"🤳",129331,206,98,130,"#ce6282"
